,album_name,artist_name,source_countries
926,Death to False Metal,Weezer,"Australasia, Canada, Europe, Indonesia, Japan, North America (inc Mexico), South Korea, US"
927,Deathconsciousness,Have a Nice Life,US
928,Debut,Björk,"Australasia, Brazil, Bulgaria, Canada, Chile, China, Europe, France, Greece, Indonesia, Israel, Japan, Malaysia, Mexico, Philippines, Poland, Russia, Saudi Arabia, South Africa, South Korea, Spain, Thailand, Turkey, UK, US, United Arab Emirates"
929,Deceit,This Heat,"Italy, Japan, UK"
930,Deceiver,DIIV,"Argentina, Germany, UK, US"
931,Decemberunderground,AFI,"Argentina, Australasia, Canada, Chile, Europe, Indonesia, Japan, Mexico, Russia, South Africa, South Korea, Taiwan, Thailand, UK, US, Ukraine"
932,Deconstruction,Devin Townsend Project,"Canada, Europe, Japan, Russia, US"
933,Dedicated,Carly Rae Jepsen,"Canada, Europe, Japan, UK, US"
934,Dedicated Side B,Carly Rae Jepsen,"Canada, Europe, Japan, UK, UK, US, US, US, Canada"
935,Dedicated to Bobby Jameson,Ariel Pink,"Japan, UK, Europe, US"
936,Deep Cuts,The Knife,Sweden
937,Deep Purple,Deep Purple,"Australia, Canada, Egypt, Germany, Israel, Italy, Japan, Philippines, South Africa, UK, US"
938,Deep Purple in Rock,Deep Purple,"Bolivia, Canada, Denmark, Europe, France, Italy, Netherlands, New Zealand, Nicaragua, Sweden, Taiwan, Turkey, UK, US"
939,Defenders of the Faith,Judas Priest,"Australia, Bolivia, Brazil, Canada, Costa Rica, Europe, Germany, Greece, India, Indonesia, Ireland, Japan, Mexico, New Zealand, South Africa, Spain, Taiwan, UK, US, Venezuela, Zimbabwe"
940,Deftones,Deftones,US
941,Dehumanizer,Black Sabbath,"Argentina, Brazil, Canada, Chile, Colombia, Europe, Greece, India, Indonesia, Italy, Japan, Malaysia, Mexico, Peru, Poland, South Korea, Spain, Turkey, US"
942,Deicide,Deicide,"Australasia, Canada, Europe, Japan, Netherlands, Poland, US"
943,Deja entendu,Brand New,"Australia, Europe, Japan, UK, US"
944,Delaware,Drop Nineteens,"UK, UK, Europe, US, US, Canada"
945,Deliverance,Opeth,"Australia, New Zealand, Bulgaria, China, Europe, Indonesia, Poland, South Korea, UK, UK, Europe, US, US, Canada"
946,Delta Machine,Depeche Mode,"Argentina, Australia, Belarus, Brazil, Bulgaria, Canada, Chile, Colombia, Europe, France, Germany, Hong Kong, India, Japan, Malaysia, Mexico, Russia, South Korea, Thailand, UK, US, Ukraine"
947,Deltron 3030,Deltron 3030,"France, US"
948,Deluxe,Harmonia,"Brazil, Germany, Portugal"
949,Demanufacture,Fear Factory,"Argentina, Australia, Bulgaria, Canada, Europe, Japan, Malaysia, Poland, Russia, South Korea, Thailand, Turkey, US, US, Canada"
950,Demon Days,Gorillaz,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Europe, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand, UK, UK, Europe, US, Ukraine"
951,Demons and Wizards,Uriah Heep,"Australia, Austria, Brazil, Canada, Denmark, France, Germany, Greece, Israel, Italy, Mexico, Netherlands, New Zealand, Portugal, Scandinavia, Singapore, South Africa, Spain, Taiwan, UK, US"
952,Depression Cherry,Beach House,"Australia, Europe, Japan, Mexico, North America (inc Mexico), UK, US"
953,Deserter's Songs,Mercury Rev,"Argentina, Australia, Brazil, Canada, Europe, Greece, Indonesia, Japan, Spain, UK, UK, Europe, US"
954,Desire,Bob Dylan,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Greece, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Portugal, South Africa, Spain, Turkey, UK, US, Yugoslavia, Zimbabwe"
955,Desire,Tuxedomoon,"Australia, France, Germany, Greece, Italy, New Zealand, UK, US"
956,"Desperate Youth, Blood Thirsty Babes",TV on the Radio,"Argentina, Australia, Australia, New Zealand, Europe, Scandinavia, UK, US, Worldwide"
957,Destroy Erase Improve,Meshuggah,"Bulgaria, Germany, Poland, Thailand, US"
958,Destroyer,KISS,"Australia, Brazil, Canada, Chile, El Salvador, France, Germany, Guatemala, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Norway, Philippines, Portugal, South Africa, Spain, Sweden, Turkey, UK, US, Venezuela"
959,Det som engang var,Burzum,Norway
960,Devotion,Beach House,Europe
961,Devotion,Jessie Ware,"Australia, New Zealand, Canada, Europe, Indonesia, Poland, Russia, South East Asia, South Korea, UK"
962,Dez anos depois,Nara Leão,Brazil
963,DiCaprio 2,J.I.D,"UK, US"
964,Diabolical Fullmoon Mysticism,Immortal,"France, Germany, Poland, Thailand"
965,Diabolus in musica,Slayer,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, Europe, France, Japan, Malaysia, Mexico, Poland, Russia, Turkey, US, Ukraine"
966,Diadem of 12 Stars,Wolves in the Throne Room,US
967,Dialoghi del presente,Luciano Cilio,Italy
968,Diamond Eyes,Deftones,UK
969,Diamond Life,Sade,"Australia, Colombia, Europe, Greece, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, New Zealand, Portugal, South Africa, Spain, Taiwan, Thailand, UK, UK, Europe, US"
970,Diary,Sunny Day Real Estate,"Germany, Poland, US"
971,Diary of a Madman,Ozzy Osbourne,"Argentina, Australia, Canada, Europe, Greece, Japan, Netherlands, New Zealand, South Africa, Spain, UK, US"
972,Didn't It Rain,Songs: Ohia,"Australia, US"
973,Die Lit,Playboi Carti,US
974,Die Mensch-Maschine,Kraftwerk,Germany
975,Different Class,Pulp,"Australasia, Canada, Europe, Indonesia, Israel, Japan, Malaysia, Netherlands, Poland, Russia, South Africa, Thailand, Turkey, UK, UK, Europe, US"
976,Dig Me Out,Sleater-Kinney,"Europe, US"
977,Dig Your Own Hole,The Chemical Brothers,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Europe, France, India, Indonesia, Italy, Japan, Lithuania, Malaysia, Mexico, Netherlands, Philippines, Poland, Russia, South Korea, Spain, Turkey, UK, UK, Europe, US, Ukraine, United Arab Emirates"
978,"Dig, Lazarus, Dig!!!",Nick Cave & The Bad Seeds,"Argentina, Australia, Bulgaria, Europe, Indonesia, New Zealand, Russia, South Africa, UK, UK, Europe, US, Ukraine"
979,Digital Ash in a Digital Urn,Bright Eyes,"Japan, UK, US"
980,Dimension Hatröss,Voivod,"Canada, France, Germany, Poland, US, US, Europe"
981,Dire Straits,Dire Straits,"Australia, Austria, Canada, France, Germany, Greece, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, Rhodesia, Saudi Arabia, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, Spain, Taiwan, UK, US"
982,Dirt,Alice in Chains,"Argentina, Australia, Austria, Brazil, Bulgaria, Canada, Colombia, Europe, Germany, Gulf Cooperation Council, Indonesia, Israel, Japan, Mexico, Poland, Russia, Saudi Arabia, Singapore, South Korea, Spain, Thailand, UK, US"
983,Dirty,Sonic Youth,"Argentina, Australasia, Australia, Brazil, Canada, Croatia, Czechoslovakia, Europe, Germany, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Philippines, Poland, Singapore, Switzerland, Thailand, Turkey, UK, US, Uruguay"
984,Dirty Computer,Janelle Monáe,"Australia, Brazil, Canada, Europe, Japan, US, US, Canada, Europe"
985,Dirty Deeds Done Dirt Cheap,AC/DC,"Australia, Belgium, France, Germany, Israel, Netherlands, New Zealand, Portugal, UK, Yugoslavia"
986,Dirty Mind,Prince,"Australia, Canada, Europe, France, Germany, Greece, Italy, Jamaica, Japan, Kenya, Netherlands, New Zealand, Philippines, South Africa, UK, US, Zambia, Zimbabwe"
987,Discipline,King Crimson,"Australasia, Canada, Colombia, France, Germany, Greece, Israel, Italy, Japan, Netherlands, Norway, Portugal, Scandinavia, Spain, Turkey, UK, US"
988,Disco Volante,Mr. Bungle,"Australia, Canada, Russia, UK, UK, Europe, US"
989,Discouraged Ones,Katatonia,"Bulgaria, Europe, Italy, Russia, Thailand, Turkey, US, Ukraine"
990,Discovery,Daft Punk,"Argentina, Asia, Australia, Brazil, Bulgaria, Canada, Europe, France, Hungary, India, Indonesia, Lebanon, Malaysia, Mexico, Philippines, Poland, Russia, South Africa, South Korea, Taiwan, Thailand, UK, US, Ukraine, Yugoslavia"
991,Discovery,Electric Light Orchestra,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Costa Rica, Europe, German Democratic Republic (GDR), Greece, Hong Kong, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Peru, Philippines, Portugal, Rhodesia, South Africa, South Korea, Spain, Taiwan, UK, US, Uruguay"
992,Discreet Music,Brian Eno,"UK, US"
993,Disintegration,The Cure,"Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Europe, Germany, Greece, Hungary, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Philippines, Poland, Portugal, Singapore, Malaysia, Hong Kong, South Africa, Spain, Taiwan, Thailand, UK, US, United Arab Emirates, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
994,Dissociation,The Dillinger Escape Plan,"Australia, Australia, New Zealand, Europe, Japan, Russia, US"
995,Diver Down,Van Halen,"Argentina, Australia, Brazil, Canada, Colombia, Ecuador, Europe, France, Germany, Greece, Guatemala, Iceland, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Norway, Peru, Philippines, Portugal, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Taiwan, UK, US, Venezuela, Yugoslavia"
996,Divers,Joanna Newsom,"Japan, UK, Europe, US, US"
997,Divine Intervention,Slayer,"Australia, Brazil, Canada, Chile, Europe, Indonesia, Italy, Japan, Malaysia, Mexico, Russia, South Korea, Thailand, Turkey, US, Ukraine"
998,Do You Want More?!!!??!,The Roots,"Australia, Canada, Europe, Japan, US"
999,Document,R.E.M.,"Australia, Brazil, Canada, Europe, Greece, Ireland, Japan, Philippines, Saudi Arabia, South Africa, Spain, Taiwan, UK, US"
1000,Does This Look Infected?,Sum 41,"Australasia, Australia, Canada, Europe, Indonesia, Japan, Malaysia, Philippines, Poland, Russia, Singapore, South Africa, South Korea, Thailand, UK, US, Ukraine"
1001,Dog Man Star,Suede,"Australia, Austria, Brazil, Canada, Europe, Hong Kong, Japan, Malaysia, Poland, Romania, Russia, Saudi Arabia, South Africa, Spain, Turkey, UK, UK, Europe, US"
1002,Dog Whistle,Show Me the Body,"Europe, US"
1003,Dogrel,Fontaines D.C.,"Europe, France, UK, UK, Europe, US, US"
1004,Dolmen Music,Meredith Monk,"Germany, Japan, US"
1005,Domination,Morbid Angel,"Canada, Europe, Japan, Malaysia, Poland, Romania, Thailand, UK, US, Ukraine"
1006,Don Caballero 2,Don Caballero,"Canada, UK, US"
1007,Don Cherry,Don Cherry,"Canada, Japan, US"
1008,Don't Break the Oath,Mercyful Fate,"Brazil, Canada, Europe, France, Japan, US"
1009,Donda,Kanye West,"Australia, Russia, US"
1010,Donuts,J Dilla,US
1011,Doo-Wops & Hooligans,Bruno Mars,"Argentina, Australasia, Australia, Canada, Chile, Colombia, Europe, Germany, Indonesia, Malaysia, Mexico, Russia, South Africa, Thailand, UK, US"
1012,Dookie,Green Day,"Argentina, Australia, Bolivia, Brazil, Bulgaria, Canada, Chile, Colombia, Europe, Germany, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Peru, Philippines, Poland, Romania, Russia, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, US, Venezuela"
1013,Doolittle,Pixies,"Australia, Australia, New Zealand, Belgium, Brazil, Canada, Europe, France, Germany, Greece, Israel, Italy, Japan, Scandinavia, Spain, Taiwan, UK, US, Yugoslavia"
1014,Doopee Time,Doopees,Japan
1015,Dopes to Infinity,Monster Magnet,"Australasia, Australia, Canada, Europe, Indonesia, Japan, Poland, UK, UK, Europe, US"
1016,Dopesick,Eyehategod,"Germany, US"
1017,Dopesmoker,Sleep,US
1018,Doppelgänger,The Fall of Troy,US
1019,Doremi Fasol Latido,Hawkwind,"Australia, Canada, France, Germany, Israel, Japan, Netherlands, South Africa, UK, US"
1020,Doris,Earl Sweatshirt,"Australia, Canada, Europe, US"
1021,Dots and Loops,Stereolab,"Canada, Germany, Japan, Thailand, UK, US"
1022,Double Cup,DJ Rashad,"Japan, UK"
1023,Double Fantasy,John Lennon & Yoko Ono,"Argentina, Australia, Austria, Bolivia, Brazil, Canada, Colombia, El Salvador, Europe, Finland, France, Germany, Greece, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Peru, Philippines, Portugal, Rhodesia, Scandinavia, South Africa, South Korea, Spain, Sweden, Turkey, UK, UK, Europe, US, Uruguay, Venezuela"
1024,Double Negative,Low,"Europe, Japan, UK, US, US, Canada"
1025,Double Nickels on the Dime,Minutemen,US
1026,Down Colorful Hill,Red House Painters,"Canada, UK, US"
1027,Down on the Upside,Soundgarden,"Argentina, Australasia, Brazil, Canada, Chile, Europe, Gulf Cooperation Council, Hungary, India, Indonesia, Japan, Malaysia, Mexico, North America (inc Mexico), Peru, Poland, Russia, South Africa, South Korea, Turkey, UK, UK, Europe, US"
1028,Dr. Feelgood,Mötley Crüe,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Ecuador, Europe, Germany, Greece, Guatemala, Hungary, Indonesia, Japan, Mexico, New Zealand, South Africa, South Korea, Spain, Turkey, UK, UK, Europe, US, Uruguay, Venezuela, Yugoslavia"
1029,Dr. Octagon,Dr. Octagon,US
1030,Draconian Times,Paradise Lost,"Argentina, Australia, Brazil, Bulgaria, Czech Republic, Japan, Poland, Russia, Thailand, Turkey, UK, UK, Europe, US, Ukraine"
1031,Draft 7.30,Autechre,"Europe, Japan, UK"
1032,Dragging a Dead Deer Up a Hill,Grouper,UK
1033,Dragnet,The Fall,UK
1034,Dragon New Warm Mountain I Believe in You,Big Thief,"Europe, Japan, UK, US, US, Worldwide"
1035,Draining Love Story,Sewerslvt,"Australia, US"
1036,Drama,Yes,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Europe, France, Germany, Greece, Guatemala, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Portugal, Scandinavia, Singapore, South Africa, Spain, Turkey, UK, UK, Europe, US, Venezuela"
1037,Drawing Down the Moon,Beherit,"Finland, US"
1038,Dream River,Bill Callahan,"Australia, Taiwan, US"
1039,Dream Theater,Dream Theater,Russia
1040,Dreamboat Annie,Heart,Canada
1041,Dreams,Gabor Szabo,"Canada, US"
1042,Dressed to Kill,KISS,"Australia, Brazil, Canada, El Salvador, Germany, Greece, Israel, Italy, Japan, New Zealand, Philippines, Rhodesia, South Africa, South Korea, Sweden, Taiwan, UK, US"
1043,Drinking Songs,Matt Elliott,France
1044,Drive Like Jehu,Drive Like Jehu,"US, US, Europe"
1045,Drogas Wave,Lupe Fiasco,US
1046,Drones,Muse,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Europe, Finland, Indonesia, Japan, Mexico, Russia, South Africa, Thailand, UK, Europe, UK, Europe, US, US"
1047,Drum's Not Dead,Liars,"Europe, Japan, UK, US, Canada"
1048,Drums and Wires,XTC,"Australia, Canada, Europe, France, Germany, Greece, Italy, Japan, Netherlands, New Zealand, Portugal, UK, US"
1049,Drunk,Thundercat,"Europe, Japan, Worldwide"
1050,Dry,PJ Harvey,"Australia, Canada, France, Germany, Poland, Turkey, UK, UK, Europe, US"
1051,Dua Lipa,Dua Lipa,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Germany, Germany, Austria, Switzerland, Italy, Japan, Mexico, Russia, South Korea, Taiwan, UK, Europe, US"
1052,Dub Housing,Pere Ubu,"France, Germany, Italy, Netherlands, UK"
1053,Dubnobasswithmyheadman,Underworld,"Australia, Canada, Germany, Scandinavia, UK, US"
1054,Duck Stab / Buster & Glen,The Residents,US
1055,Dude Ranch,Blink-182,"Australia, Canada, China, Europe, Indonesia, Japan, Mexico, Thailand, US"
1056,Duke,Genesis,"Argentina, Australia, Austria, Brazil, Canada, Colombia, France, German Democratic Republic (GDR), Germany, Greece, Guatemala, India, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Norway, Peru, Philippines, Portugal, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, Spain, UK, US, Uruguay, Yugoslavia"
1057,Duke Ellington's Far East Suite,Duke Ellington,Japan
1058,Dummy,Portishead,"Australasia, Bulgaria, Canada, Chile, China, Europe, Greece, India, Indonesia, Israel, Japan, Malaysia, Netherlands, Philippines, Romania, Thailand, UK, US"
1059,Dummy Boy,6ix9ine,US
1060,Duran Duran,Duran Duran,"Argentina, Australia, Australia, New Zealand, Canada, Europe, France, Germany, Greece, India, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, Saudi Arabia, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Taiwan, UK, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
1061,Dusk... and Her Embrace,Cradle of Filth,"Australia, Bulgaria, Czech Republic, Europe, Japan, Malaysia, Russia, UK, UK, Europe, US"
1062,Dust,Laurel Halo,"Japan, UK"
1063,Dust,Screaming Trees,"Australia, Brazil, Canada, Europe, Japan, Netherlands, Poland, Russia, South Africa, Turkey, UK, US"
1064,Dusty in Memphis,Dusty Springfield,"Australia, Brazil, Canada, France, Japan, Netherlands, New Zealand, South Africa, UK, US"
1065,Duty Now for the Future,Devo,"Australia, Brazil, Canada, Colombia, France, Germany, Greece, Italy, Japan, Netherlands, New Zealand, Portugal, UK, US"
1066,Dynamo,Soda Stereo,"Argentina, Bolivia, Chile, Colombia, Mexico, Paraguay, Uruguay, Venezuela"
1067,Dynasty,KISS,"Australia, Austria, Bolivia, Brazil, Canada, Chile, Colombia, Ecuador, El Salvador, France, Germany, Greece, Guatemala, Hong Kong, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Norway, Panama, Peru, Philippines, Portugal, Saudi Arabia, South Africa, Spain, Sweden, Syria, Taiwan, Thailand, UK, US"
1068,Dystopia,Megadeth,"Argentina, Australia, Brazil, Canada, Europe, Indonesia, Japan, Mexico, Poland, Russia, South America, South East Asia, South Korea, US, Worldwide"
1069,Déjà vu,"Crosby, Stills, Nash & Young","Australia, Belgium, Brazil, Canada, Chile, France, Germany, Greece, India, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Peru, South Africa, Spain, Taiwan, UK, US, Uruguay"
1070,E,Ecco2K,Sweden
1071,E. 1999 Eternal,Bone Thugs-N-Harmony,"Australia, Brazil, Canada, Europe, France, Japan, Poland, Spain, Thailand, US"
1072,E.S.P.,Miles Davis,"Australia, Canada, France, Germany, Japan, Netherlands, New Zealand, South Africa, UK, US"
1073,E2-E4,Manuel Göttsching,Germany
1074,EVOL,Sonic Youth,"Netherlands, UK, US"
1075,Earl,Earl Sweatshirt,US
1076,Earth A.D. / Wolfs Blood,Misfits,US
1077,Earthling,David Bowie,"Argentina, Australia, Brazil, Bulgaria, Canada, Europe, Hong Kong, India, Indonesia, Italy, Japan, Lithuania, Malaysia, Mexico, Poland, Russia, South Africa, South Korea, Spain, Turkey, UK, US, US, Canada, Yugoslavia"
1078,Easter,Patti Smith Group,Netherlands
1079,Easter Everywhere,13th Floor Elevators,US
1080,Eastern Sounds,Yusef Lateef,"UK, US"
1081,"Eat Me, Drink Me",Marilyn Manson,"Argentina, Australasia, Brazil, Canada, China, Czech Republic, Slovakia, Europe, France, Greece, Hong Kong, Hungary, Indonesia, Japan, Malaysia, Mexico, Poland, Russia, Singapore, South Africa, South Korea, Taiwan, UK, US, Ukraine"
1082,Eat a Peach,The Allman Brothers Band,"Australia, Brazil, Canada, France, Germany, Italy, Japan, Netherlands, New Zealand, Philippines, South Africa, Spain, Taiwan, UK, US, Venezuela"
1083,Eat to the Beat,Blondie,"Argentina, Australia, Austria, Canada, Colombia, Denmark, Europe, Finland, France, German Democratic Republic (GDR), Germany, Greece, Hong Kong, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Norway, Peru, Philippines, Portugal, Saudi Arabia, Scandinavia, South Africa, South Korea, Spain, Sweden, Taiwan, UK, US, Uruguay"
1084,Eaten Back to Life,Cannibal Corpse,"Bulgaria, Canada, Europe, Poland, Romania, UK, US"
1085,Echoes,The Rapture,"Argentina, Australia, Brazil, Canada, Europe, France, Germany, Indonesia, Japan, Mexico, Russia, UK, UK, US, US"
1086,"Echoes, Silence, Patience & Grace",Foo Fighters,"Argentina, Australia, Australia, New Zealand, Brazil, Canada, China, Colombia, Denmark, Europe, Hong Kong, Indonesia, Israel, Japan, Mexico, Russia, Singapore, South Africa, South Korea, Taiwan, Thailand, US, Ukraine"
1087,Effigy of the Forgotten,Suffocation,"Europe, Indonesia, Malaysia, Netherlands, Poland, US"
1088,Efil4zaggin,N.W.A,"Australia, Germany, Indonesia, Japan, Malaysia, Poland, Thailand, UK, UK, Europe, US"
1089,Ege Bamyası,Can,"France, Germany, Japan, UK, US"
1090,Either / Or,Elliott Smith,"Japan, US"
1091,Ekstasis,Julia Holter,"Australia, Europe, UK, UK, US, US"
1092,El Camino,The Black Keys,"Argentina, Australia, Brazil, Canada, Chile, Europe, Japan, Mexico, Philippines, UK, US, US, Canada, US, Europe"
1093,El cielo,dredg,"Europe, Germany, US"
1094,El pintor,Interpol,"Argentina, Australia, Brazil, Europe, Indonesia, Japan, Mexico, Russia, UK, Europe, US"
1095,Elaenia,Floating Points,"Australia, New Zealand, Japan, UK, UK, Europe, US"
1096,Eldorado,Electric Light Orchestra,UK
1097,Elect the Dead,Serj Tankian,"Australia, Brazil, Canada, Europe, India, Japan, Mexico, Philippines, Russia, US, Ukraine"
1098,Electr-o-Pura,Yo La Tengo,"Canada, Europe, France, Germany, Japan, US"
1099,Electric Café,Kraftwerk,"Argentina, Australia, Brazil, Canada, Europe, France, Germany, Hungary, India, Israel, Italy, Japan, Malaysia, New Zealand, Portugal, South Africa, South Korea, Spain, UK, US, United Arab Emirates, Yugoslavia"
1100,Electric Ladyland,The Jimi Hendrix Experience,"Australia, Canada, France, Germany, Israel, New Zealand, Peru, South Africa, South Korea, Spain, UK, US"
1101,Electric Version,The New Pornographers,"Australia, Canada, Europe, Japan, Scandinavia, UK, US"
1102,Electric Warrior,T. Rex,"Australia, Belgium, Canada, Denmark, France, Germany, Greece, Italy, Japan, Malaysia, Netherlands, New Zealand, Scandinavia, South Africa, Spain, UK, US"
1103,Electro-Shock Blues,Eels,"Australia, Canada, Europe, Germany, Japan, Malaysia, Russia, Thailand, UK, UK, Europe, US, US"
1104,Elegy,Amorphis,"Australia, Bulgaria, Finland, Germany, Malaysia, Poland, Russia, South Korea, US, Ukraine, Yugoslavia"
1105,Elements,Atheist,"France, Japan, Poland, UK, US"
1106,Elephant,The White Stripes,"Argentina, Australia, Australia, New Zealand, Brazil, Canada, Europe, Greece, Hong Kong, India, Indonesia, Japan, Malaysia, Mexico, Middle East, Netherlands, Philippines, Poland, Russia, Scandinavia, South Africa, South Korea, Thailand, UK, US"
1107,Eli and the Thirteenth Confession,Laura Nyro,"Canada, UK, US"
1108,Eliminator,ZZ Top,"Argentina, Australia, Austria, Brazil, Canada, Ecuador, Europe, France, Germany, Greece, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Philippines, Portugal, Saudi Arabia, Scandinavia, South Africa, Spain, Taiwan, UK, UK, Europe, US"
1109,Elliott Smith,Elliott Smith,"US, US, Canada"
1110,Elton John,Elton John,"Brazil, Canada, France, Germany, Iran, Israel, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, South Africa, UK, UK, US, US, Venezuela"
1111,Elvis Presley,Elvis Presley,"Argentina, Australia, Brazil, Canada, Chile, Germany, Israel, Italy, Japan, Mexico, South Africa, US, US, Canada, Europe"
1112,Embryonic,The Flaming Lips,"Argentina, Australia, Brazil, Canada, Europe, Japan, Malaysia, Mexico, UK, Europe, US, US, Canada"
1113,Emergency & I,The Dismemberment Plan,"Europe, US"
1114,Emergency on Planet Earth,Jamiroquai,"Argentina, Brazil, Canada, Europe, Indonesia, Japan, Malaysia, Mexico, Netherlands, Poland, Saudi Arabia, Singapore, South Africa, South Korea, Spain, Taiwan, Thailand, Turkey, UK, UK, Europe, US"
1115,"Emerson, Lake & Palmer","Emerson, Lake & Palmer","Australia, France, Germany, Israel, Mexico, New Zealand, Philippines, Portugal, UK"
1116,Emotional Rescue,The Rolling Stones,"Australia, Belgium, Brazil, Canada, Colombia, France, Germany, Greece, Guatemala, India, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Panama, Philippines, Poland, Portugal, Singapore, Malaysia, Hong Kong, South Africa, Sweden, Switzerland, Syria, Taiwan, UK, US, Venezuela, Zambia, Zimbabwe"
1117,Emperor Tomato Ketchup,Stereolab,"Australia, Canada, Europe, France, Germany, Japan, Russia, Thailand, UK, US"
1118,Emperor of Sand,Mastodon,"Argentina, Australia, Brazil, Canada, Europe, Japan, Russia, US, Worldwide"
1119,Empire,Kasabian,"Argentina, Australia, Canada, Europe, France, Germany, Austria, Switzerland, Japan, Russia, Thailand, UK, UK, Europe, UK, Ireland, US, US, Canada, Ukraine"
1120,Empire,Queensrÿche,"Australasia, Australia, Brazil, Canada, Chile, Colombia, Europe, Guatemala, Indonesia, Italy, Japan, Malaysia, Netherlands, Saudi Arabia, South Korea, Spain, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Venezuela"
1121,Employment,Kaiser Chiefs,"Argentina, Australia, Brazil, Canada, China, Europe, France, Indonesia, Ireland, Japan, Malaysia, Mexico, Philippines, Russia, South Africa, Thailand, UK, US, Ukraine"
1122,Empyrean Isles,Herbie Hancock,US
1123,Encore,Eminem,"Argentina, Australasia, Brazil, Bulgaria, Canada, Costa Rica, Europe, India, Indonesia, Israel, Japan, Lebanon, Malaysia, Philippines, Poland, Romania, Russia, Singapore, South Africa, South Korea, Taiwan, Thailand, UK, Europe, US, Ukraine"
1124,End Hits,Fugazi,"UK, US, UK, Europe, US, US"
1125,End Position,Street Sects,US
1126,End of the Century,Ramones,US
1127,EndSerenading,Mineral,US
1128,Endgame,Megadeth,"Argentina, Australia, Brazil, Canada, Chile, Europe, India, Indonesia, Japan, Malaysia, Mexico, Russia, South Korea, UK, US, Ukraine"
1129,Endless,Frank Ocean,"Russia, US"
1130,Endless Pain,Kreator,"Canada, Germany"
1131,Endless Summer,Fennesz,Austria
1132,Endtroducing.....,DJ Shadow,"Australia, New Zealand, Canada, Europe, Germany, Russia, Thailand, UK, UK, Europe, US"
1133,Enema of the State,Blink-182,"Argentina, Australasia, Australia, Brazil, Canada, Colombia, Europe, Germany, Indonesia, Israel, Malaysia, Mexico, Philippines, Poland, Russia, Singapore, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, US, Ukraine"
1134,Enemy of the Sun,Neurosis,"UK, UK, Europe, US, US, Canada"
1135,English Settlement,XTC,"Australia, Canada, Europe, France, Greece, Israel, Italy, Japan, Malaysia, Mexico, New Zealand, Portugal, South Africa, South Korea, Spain, UK, US, Yugoslavia"
1136,Engravings,Forest Swords,"Europe, UK, US"
1137,Enjoy Eternal Bliss,Yndi Halda,UK
1138,Enjoy Your Rabbit,Sufjan Stevens,US
1139,Ensiferum,Ensiferum,"Finland, Russia, Thailand, Ukraine"
1140,Enta da Stage,Black Moon,US
1141,Enter,Russian Circles,"US, US, Canada"
1142,Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,"Canada, Europe, Poland, US"
1143,Entertainment!,Gang of Four,"Canada, Europe, France, Netherlands, New Zealand, Portugal, UK, US"
